A	B
	0
	1
0|1	2
2	3
3	4
4	5|6
5	7
6	8
7	9
	10
8	11|12
9	13
10	14
11	15|16
12	
13|14	17
15	
16	18
17	19
18|19	20
20	21|22
21	23|24
22	25
23	
24|25	26
26	27
27	28|29
	30
28	31
29	32
30|31	33
32	34
33	35|36
34	37
35	38
36	39
37	40
38|39	41
40|41	42
	43
42|43	44
44	45
45	46|47
46	48|49
47	50|51
48	
49	52|53
50	54
51	55|56
52	57|58
53	59
54	60
55	61
56	62
57	63
58|59	64
60	
61	
62|63	65
64	
65	
66	
67|68	66
69	67
70	68|69
71|72	70
73|74	71
75|76	72
77	73
78|79	74
80	75
81	76
82|83	77
84	78
85|86	79
87	80
88	81
89	82
90	83|84
91	85
92|93	86
94	87
95	88
96	89
97	90
98	91|92
99	93
100	94|95
101	96|97
	98
102	99|100
103	101
104	102|103
105|106	104
107	105
108	106
109	107
110	108
111|112	109
113	110
114|115	111
116	
117|118	112
119	113
120	114
121	115
122	116
123|124	117
125	118
126	119
127	120|121
128	122
129	123
130	124
131|132	125
133|134	126
135	127
136	128
137	129
138|139	130
140	
141|142	131
143|144	132
145	133
146	134
147	135|136
148	137
149	138
150	139
151	140
152	141
153	142
154	143
155	144|145
156	146
157	147
158	148|149
