A	B
	0
0|1	1
2	2
3	3
4|5	4
6	5
7	6
8	7
9	8
10	9
11	10
12	11
13	12
14|15	13
16|17	14
18	15
19	16
20	17|18
21	19|20
22	21
23|24	22
25	23|24
26	25
27	26|27
	28
28	29
29	30
30	31
31|32	32
33	33|34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45|46
45	47|48
46	49|50
47|48	51
49	52|53
50	54
51	55
52	56|57
53	58|59
54	60
55	61
56	62
57	63
58|59	64
60	65
61	66
62	67
63	68
64	69
65	70
66	71
67	72|73
68	74|75
69|70	76
71	77|78
72	79
73	80
74	81
75	82
76	
77	83|84
78|79	85
80|81	86
82|83	87
84|85	88
86	89|90
87	91
88	92
89	93
90|91	94
92	95
93	96|97
94	98|99
95|96	100
97|98	101
99	102
100	103|104
101|102	105
103	106
104	107
105|106	108
107	109|110
108|109	111
110	112
111	113
112	114|115
113	116
114	117
115	118
116	119
117	120
118|119	121
120	122
121	123
122	124
123|124	125
125	126
126	127
127	128
128	129
129	130
130	131
131	132
132|133	133
134	134
135|136	135
137|138	136
139	137
140|141	138
142|143	139
144	140
145|146	141
147	142|143
148	144|145
149	146
150|151	147
152|153	148
154	149
155	150
156	151
157|158	152
