A	B
0|1	0
2	1
3	2
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11|12	10
13	11
14	12
15	13|14
16	15
17|18	16
19	17|18
20|21	19
	20
22|23	21
24	22
25|26	23
27	24
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32|33
36|37	34
38	35
39	36|37
40	38
41|42	39
43|44	40
45	41
46	42
47	43|44
48|49	45
50|51	46
52|53	47
54	48
55	49
56|57	50
58	
59	51
60	52
61	53|54
62|63	55
64	56
65	57
66|67	58
68|69	59
70	60
71	61
72	62
73|74	63
75	64|65
76|77	66
78|79	67
80	68|69
81	70
82	71
83	72|73
84	
85|86	74
87	75|76
88	77
89	78
90	79
91|92	80
93	81
94	82
95|96	83
97	84
98	85
99|100	86
101	87|88
102	89|90
103	91
104|105	92
106	93
107|108	94
109	95|96
110	97
111	98
112	99
113	100
114	101
115|116	102
117	103
118|119	104
120	105
121|122	106
123	107
124|125	108
126	109
127	110
128	111
129	112
130|131	113
132	114
133	115
134|135	116
136	117|118
137|138	119
139	120
140	121
141	122|123
142	124
143	125
144	126
145	127
146	128
147|148	129
149	
150	130
151	131|132
152	133|134
153|154	135
155	136
156	137
157	138
158	139
159	140
160|161	141
162	142
163	143
164|165	144
166	145
167	146
168	147
169|170	148
171	149
172	150
173	151
174	152
175|176	153
177|178	154
179	
180|181	155
182|183	156
184|185	157
186|187	158
188	
189|190	159
191	160|161
192	162
193|194	163
195	164
196	165
197|198	166
199|200	167
201|202	168
203	169
204	170
205	171
206	172
207|208	173
209	174
210	175
211	176|177
212	178
213	179
214	180
215|216	181
217|218	182
219	183
220	184
221|222	185
223|224	186
225	
226|227	187
228	
229	
230	
