A	B
0	0|1
1	2
2	3
3	4
4	5
5|6	6
7|8	7
9|10	8
11	9
12	10
13|14	11
15|16	12
17|18	13
19	14|15
20	16
21	17
22	18|19
23	20
24	21
25	22
26	23|24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37|38
40	39
41	
42	
43	40
44	
45	41
46	42
47|48	43
49|50	44
51	45
52	46
53	47
54	48
55	49
56	50|51
57|58	52
59	
60|61	53
62	54|55
63|64	56
65|66	57
67|68	58
69|70	59
71	60
72	61
73	62
74	63
75	64
76	65
77	66
78	67|68
79	69
80	70
81	71|72
82	73
83	74
	75
84	76
85	77
86	78
87	79
88	80
89	81
90|91	82
92	83
93	84
94	85|86
95	87|88
96	89
97	90|91
98	92|93
99	94
100	95
101	96|97
102	98
103|104	99
105	
106|107	100
108	101
109|110	102
	103
111	104
112	105
113	106
114	107
115	108
116	109
117	110
118	111
119	112
120	113
121	114|115
	116
122	117
123	118
124	119
125	120
126	121
127	122
128	
129	
130|131	123
132	
133|134	124
135	
136|137	125
138	
139	
140	
141	
142|143	126
144	127
145	128
146	129
147	
148	130|131
149	132|133
150	134
151|152	135
153|154	136
155|156	137
157	
158|159	138
160	
161	139
162	140
163	141
164	142
165	143
166	144
167	145|146
168	147|148
169	149
170	150
171	151
172	152
173	153
174	154|155
175	156
176|177	157
	158
	159
178	160
179	161
180	162
181	163|164
182|183	165
184|185	166
186	167
187	168
188	169
189	170
190	171
191	172
192	173|174
193|194	175
195	176
196	177
197	178
198	179
199	180
200	181
201|202	182
203|204	183
205	184
206	
207	
208	185
209	
210	
211	186
212	187
213	188|189
	190
214	191
	192
	193
215	194|195
216	196
217	197
218	198|199
219	200|201
220|221	202
222|223	203
224	204
225	205
226	206|207
227	208
228	209|210
229|230	211
231	
232	212
233	213
234	214
235	215
236	216
237	217|218
	219
238	220|221
	222
239	223
240	224|225
241	226
242	227
243|244	228
245	229
246|247	230
248	
249	
250	
251	
252	
253	
254	
255	
256	
257	
258	
259	
260	
261	
262	
263	
264	
265	
266	
267	
268	
269|270	231
271	
272	
273	
274	
275	
