		per cognitionem apphensam sicunt onim grauia ex eo quod habent formam grauis sequaea quedam nalis inclinatio . 	57
77	et quidam appetitus naturalis, 	quidam appetitus nalis 	58
78	ut naturaliter desiderent esse deorsum: 	ut naliter desiderant esse deorsum |sichhabencia 	59|60
79|80	sic habentia cognitionem prout habent in seipsis formam apprehensam, |sequitur quaedam inclinatio, 	cognitione prout habent iner se ipsis form apprehensam sequo que dam indin atio . 	61
81	et quidam appetitus 	quidam appetitus 	62
82|83	secundum formam illam. |Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	secundum formam illam propter quem sic est in nobis duplex cognitio sensitiua . intellectiua sic est in nobis dupur appetitus uidelicet sensitiuus 	63
84	sic 		
85	etiam est in nobis duplex appetitus, 		
86	videlicet, sensitiuus, 		
87	qui sequitur formam apprehensam per sensum: 	qui sequa formam apphensam persensum . 	64
88	et intellectiuus, 	intellectiuus 	65
89	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	qui sequ formam apperhensam per intellectum appetitur autem sensitimis duplex en namcum 	66
90	Nam cum animalia sint supra inanimata, 	animalia sint supra in animatam 	67
91	si natura elementis 	si natura elis . 	68
92|93	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	rebus in animatis dedit duplicem potentiam unam per quam tendum in propriam quietem . 	69
94|95	et aliam per quam resistunt, |et agunt in prohibentia, 	aliam per quam resistunt . aguntin prohibencia . in contraria multo magis hanc duplicem potentiamna dedit ipsis animalibus que sunt perfectora illice uideus onim 	70
96	et in contraria: 		
97|98	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, |quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	quod ignis est naturaliter calidus . 	71
99|100	et leuis per leuitatem autem tendit in locum proprium, |et in quietem sibi conuenientem: 	leuis per leuitatem autem tendit in locumaprium . inquietem sibi conuenientem percaliditatem uero agit inquariane ergo ignis 	72
101|102	per caliditatem vero agit in contraria: |ne ergo ignis per quaecunque contraria agentia impediretur, 	per quecunque contraria agencia inpediretur 	73
103|104	ne per leuitatem in proprio loco quiesceret, |dedit ei natura potentiam calefactiuam, 	ne per leuitaturein proprio loco quiescere posset dedit einata pom calestuiam 	74
105	ut per eam resisteret, et ageret in contraria corruptiua. 	ut per eam resistereret naget in quaria corruptiua 	75
106	Si ergo igni, 		
107|108	et rebus inanimatis natura dedit duplicem potentiam, |unam per quam adipiscuntur propriam quietem, 	si igitur igni . rebus in animatis nata dedit duplicem pomunam per quam adipiscuntur propriam quietem . 	76
109	et aliam per quam agunt in prohibentia et contraria: 	aliam per quam agunt in prohibencia . 	77
110	multo magis hoc dedit animalibus. 	contraria multo magis hoc dedit animalibus tribuit 	78
111	Tribuit ergo eis duplicem appetitum sensitiuum, 	ergo eis duplicem appetitum sensitiuum 	79
112	unum per quem prosequuntur propriam quietem, 	unum perquem prosequuntur propriam quietem . 	80
113	et propriam delectationem, 	propriam delctatiom 	81
114	ut concupiscibilem: 	ut concupiscibilem 	82
115	et alium per quem resistunt, 	et alium per que resistunt 	83
116	et aggrediuntur prohibitiua, 		
117	ut contraria, 		
118|119	ut irascibilem. |Ita quod concupiscibilis se habet sicut leuitas, 	et aggrediuntur prohibitiua . contraria ut irascibilem ita quod contupisci . se habent 	84
120|121	vel grauitas, |in leuibus, 	sicut leuitas uel grauitas in leuibus 	85
122	et grauibus. Irascibilis vero se habet quasi caliditas, 	.grauibebus irascibilis uerose habent 	86
123	vel frigiditas in eis. 	qua caliditas . frigiditas ineis 	87
124	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, 	nam sicut grauia per grauitatem receduntaloco sursum tanquam a non conueniente . 	88
125	et tendunt in locum deorsum tanquam ad locum conuenientem, 	tendunt inlocum deorsumtanquam |ad locum conuenientem . 	89|90
126	et conformem: 	con formen 	91
127	per frigiditatem vero resistunt contrariis, 	per frigiditatem uero resistunt contrariis 	92
128	ne corrumpantur a propria natura, 	ne corrunpantur a propria natura . 	93
129	et deserant propria loca, 	deserant propria loca . 	94
130|131	et propriam quietem. |Sic animalia per concupiscibilem fugiunt mala tristia, 	propriam quietem sic alia per concupisci entem fugiunt mala tristicia . 	95
132	et prosequuntur bona delectabilia. 	persequentur bona delectabilia 	96
133	Per irascibilem vero aggrediuntur contraria, 	per irascibilem uero agrediuntur contraria 	97
134	quae possent ea ab huiusmodi delectationibus prohibere. 	que possent 	98
135|136	Ut Leo per concupiscibilem pergit, |ut prosequatur cibum 	ea abhius delectationibus prohibereut leo per concupistibilem pergit 	99
137|138	tanquam quid delectabile: |per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto. 	ut prosequatur cibum tanquam aliquid delectabile per irascibilem uero aggreditur animalia uolencia ipsum prohibe in cibo adepto propter 	100
139	Propter quod bene dictum est, 	quem bene dictum est 	101
140|141	quod concupiscibilis respicit bonum, |et malum 	quod concupiscibilis respicit bonum . malum sconum 	102
142|143	secundum se: |irascibilis vero respicit bonum, 	se irascibilis uero respicit bonum . 	103
144	et malum inquantum habent rationem difficilis, 	malum in quam habent ronnem difficilis . ardui 	104
145	et ardui. Nam cum bonum 	nam |cum bonum 	105|106
146	secundum se dicat prosequendum, 	secundum se dicat 	107
147|148	malum vero quid fugiendum: |concupiscibilis, 	quod persequendum malum uero quod fugiendum concupisci ue que 	108
149|150	quae secundum se tendit in quietem |et in bona delectabilia, 	secundum se tendin quietem . inbonadelectabtia . 	109
151|152	et fugit mala tristia, |pro obiecto habet mala, 	fugit mala tristia pro obiectohec bona . 	110
153|154	et bona sensibilia |secundum se considerata. Irascibilis vero, 	mala sensibilia secundet seconsiderata irascibilis suo scdum quam aggredimur . 	111
155	secundum quam aggredimur, 		
156|157	et resistimus prohibentibus, |et nociuis, 	resistimus prohibem tibus . nociuis . tendit in bona 	112
158	tendit in bona, et mala sensibilia, 		
159|160	non secundum se considerata, |sed ut habent rationem ardui, 	.mala sensibilia non secundum se considerata sed ut habent ronum ardui . 	113
161|162	et difficilis: |nam arduitas, 	difficiliter nam arduitas . 	114
163	et difficultas potissime sunt repugnantia, 	diuen ficilitas potissime sunt repungnamcia . 	115
164	et prohibentia, 	prohibencia 	116
165	ne possimus consequi bonum, 		
166|167	et vitare malum. Imperfecto ergo egisset natura, |si dedisset animalibus concupiscibilem, 	ne possimus consequi bonum . uitare malsi imperfcem ergo regisset natura si dedisset animalibus concupiscibilem 	117
168	per quam vitarent mala, 	per quam uitarent mala . 	118
169	et prosequerentur bona, 		
170|171	nisi dedisset eis irascibilem, |per quam aggrederentur impedientia delectationem illam: 	persequerentur bona nisi dedisset eis irascibilem perquam aggredirentur inpediencia delectatiom illam 	119
172	ut igitur animalia, 	ut igitur animalia 	120
173|174	secundum modum sibi conuenientem, |prout bene possint delectari per concupiscibilem, 	secundum modum sibi conueniente plene possunt delectari 	121
175	data est eis irascibilis, 		
176|177	per quam resistant, |et aggrediantur impedientia delectationem illam. Duplex est ergo appetitus sensitiuus, 	per concupiscibilem data est eis irascibilis perquam resistant . aggridianter impediencia delectatiom illam duplex 	122
178|179	irascibilis, |et concupiscibilis. Appetitus autem intellectiuus, 	est ergo appetitus sensitiuus irascibilis . concupiscibilis appetitus autem intellectiuus 	123
180|181	qui dicitur voluntas, |remanet indiuisus. Nam cum intellectus uniuersaliori modo respiciat suum obiectum quam sensus, 	qui dicitur uoluntas remanm indiuisus namcum in tlectus ueliori modo respiciat suum obiectum 	124
182	appetitus intellectiuus, 	quam sensus appetitiuus intellectiuus 	125
183|184	qui sequitur intellectum uniuersaliori modo, |fertur in bonum, 	qui sequiturintellectum ueliori modo fertur inbonumquam appetitus 	126
185	quam appetitus secundum sensum: 	secundum sensum . quarequantaro 	127
186	et quia quanto aliquid 	aliquid 	128
187	sub uniuersaliori modo accipitur, 	sibi ueliori modo accipitur 	129
		tanto unum . 	130
188	tanto unum et idem existens ad plura se extendit, 	idem existens |ad plurase extendit 	131|132
189|190	licet appetitus sensitiuus sit alius, |et alius, 	licet appetitus sensitiuiis sit alius . aluus secundet 	133
191	secundum quem prosequimur delectabilia, 	quod persequimur delactabilia |secundum sensum . 	134|135
192|193	et secundum quem aggredimur terribilia: |appetitus tamen intellectiuus unus, 	aggredimur terribiliam appetitus tamen intellectiuus unus . 	136
