0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso q non in potencus naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec insensibus habent 	1
3	restat ostendere, 	esse uirtutes restat |ostendere 	2|3
4	quomodo distinguuntur virtutes, 	quo distinguntur uirtutes . 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in intellectu . appetitu existuntum distinguendum est ergo dum uirtutibus . 	5
6	et de huiusmodi potentiis: 	de huius potenciis 	6
7	nam virtutum quaedam sunt intellectuales, 		
8|9	quaedam morales, |quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	nam uirtutum quedam sunt intellectuales quedam morales quedam medie intellectuales . morales uirtutereintellectuales dicuntur ille que sunt in intellectu speculatiuo 	7
10	cuiusmodi sunt scientiae speculatiuae, 	cuius scine sunt speculatiue 	8
11	ut naturalis Philosophia, 		
12	Geometria, Metaphysica, 		
13|14	et caetera talia. Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	ut naturalis philonaegaentiam methare ccetera talia uirtutes uero sunpliciter morales sunt ille que sunt in appetitum sui appetitus ille sit sem sitium siue intellectiuus 	9
15	siue appetitus ille sit sensitiuus, siue intellectiuus, 		
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuius autem sunt iustina teperantiam fortitudo mansuetudo . 	10
18	Mansuetudo, 		
19|20	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	caetera talia dum quibus sumus singuliter tractaturi uirtutes a medie inter intellectuales . morales sunt uirtutes existentes 	11
21|22	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	in intellectupratico 	12
23|24	et aliae virtutes sibi annexae. Prudentia autem, |secundum Commentatorem super libris Ethicorum, 	ut prudencia . alie uirtutes sibi anexe prudemcia autem sed comentatorem super librum ethoc media est 	13
25	media est 		
26|27	inter virtutes morales, |et intellectuales; computari 	inter uertutes morales . intellectuales computari tum potest 	14
28	tamen potest 		
29	cum virtutibus moralibus: 	cum uertutibus moralibus 	15
30	nam Prudentia non est nisi in hominibus bonis, 	nam prudentia non in est |nisi hominibus bonise 	16|17
		sicut 	18
31|32	sicut nec virtutes morales: praui enim homines |et si possunt esse scientes, 	nec uirtutes morales praui est homines . si possent ce scientes hastuti uuersipelles 	19
33|34	astuti, et versipelles; |prudentes tamen esse non possunt, 	prudentes 	20
35|36	ut suo loco patebit. |Inde est ergo quod dicitur 6 Ethic’ 	tum essenon possuntut suo loco patebit indem est ergo 	21
37	quod impossibile est prudentem esse non existentem bonum. 		
38|39	Dimissis ergo virtutibus |huiusmodi intellectualibus, 	quod drerumius ethos 	22
40	ut dimissis scientiis speculatiuis, 		
41|42	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	quod imprio est prudentem esse non entem bonum didimissis ergo uirtutibus intellectualibus . dimissis scienciis speculatiuis de prudentia edum uirtutibus moralibet est tractandere suscepimus enim 	23
43|44	praesens opus, |non ut sciamus, 	ut pluries diximus pronens opus ut non sciamur 	24
45	sed ut boni fiamus: 	sed ut boni fiamus 	25
46	quae bonitas, 	que bonitas 	26
47|48	sine prudentia et virtutibus moralibus, |nobis in esse non potest. Has autem virtutes, 	sine prudentia suntutibus moralibus nobis in esse non potest has autem uirtutes in intellectu . appetitu esse contingit denm est enim uirtutem esse aliquid 	27
49|50	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	secundum ronem ergo esse potentia ronalemoneque ponitur esse uirtus ronale an del est 	28
51|52	secundum rationem: |oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	secundum philos per essentiam . 	29
53	Rationale autem duplex est secundum Philosophum, 		
54|55	per essentiam, |et per participationem. Intellectus autem est rationalis per essentiam. 	per participationem intellectus autem est ronalis per essenciam appetitus uero per participationem 	30
56	Appetitus vero per participationem. 	nam appetitus licet 	31
57|58	Nam appetitus licet non sit ipse intellectus, |vel ipsa ratio essentialiter, 	non sit ipse intellectus uel ipsa ratio essencialiter 	32
59	dicitur tamen participare rationem, 	dicitur |tum participare rone 	33|34
60	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quare est appetitus natus romi obedire potencieautem naturales . 	35
61	nec sunt rationales per essentiam, 	susum non sunt naturales |per essentiam 	36|37
62	quia non sunt ipsa ratio: 	quare non ipsa ratio sunt 	38
63|64	nec ratione participant, |quia per se, 	nec rone participant quare perse . 	39
65	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	secundum quod huius non obediunt romine igitura insensibus . 	40
66|67	et in potentiis naturalibus |(ut supra dicebatur) 	in potencus naturalibus supradicebatur non habent esse uirtutes 	41
68	non habent esse virtutes, 		
69|70	sed solum esse habent in intellectu, et appetitu. |In nobis autem duplex est appetitus, intellectiuus, 	sed solum esse habent in intellectu. appetitum in nobis autem duplex est appetitus intellectiuus . sensitiuus 	42
71|72	et sensitiuus. |Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	nam si caetera appetitus naturalis sequitur formam naturaliter adeptam 	43
73|74	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. |Sicut enim grauia, 	sic appetitus cognitiuus 	44
75	ex eo quod habent formam grauis, 	sequitur formam 	45
76	sequitur ea quaedam naturalis inclinatio, 	per cognitionem apprehensam sic est grauia ex eo quod habent formam grauis sequitur cca quedam naturalis inclination . 	46
77	et quidam appetitus naturalis, 	quad appetitus naturalis 	47
78	ut naturaliter desiderent esse deorsum: 	ut naturaliter desiderent esse deorsum 	48
79|80	sic habentia cognitionem prout habent in seipsis formam apprehensam, |sequitur quaedam inclinatio, 	sic unhabentia cognitionem 	49
81	et quidam appetitus 	prout habent 	50
82	secundum formam illam. 	in se ipsis formam apperhensam sequitur quedam inclinatio . 	51
83|84	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: |sic 	quidam appetitus sed formam illam propter quod sicut est in nobis duplex cognitio sensitiua . intellectiua sic est in nobis 	52
85|86	etiam est in nobis duplex appetitus, |videlicet, sensitiuus, 	dum appetitus uidelicet sensitiuus 	53
87|88	qui sequitur formam apprehensam per sensum: |et intellectiuus, 	qui sequitur formam apprehensam per supum. intellectiuus 	54
89|90	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. |Nam cum animalia sint supra inanimata, 	qui sequitur formam apprehensam per intellectum appetitur a sensitium duplex en nam cum animalia sint supra inanimata 	55
91	si natura elementis 		
92|93	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	si natura elieris . rebus inanimatis dedit duplicem potenciam unam per quam tendunt in propriam quietendus aliam 	56
94	et aliam per quam resistunt, 	per quam resistunt . 	57
95	et agunt in prohibentia, 	agunt in prohibentia . 	58
96	et in contraria: 		
97	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	in contraria multo magis duplicem potenciam |nam dedit ipsis animalibus 	59|60
98	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	que sunt perfectiora aliise uidemus enim quod ignis est naturaliter calidus . 	61
