78	ut naturaliter desiderent esse deorsum: 	ut naturaliter desiderent esse deorsum 	55
79	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	sic habencia cognitum |prout habent in se ipsis foret apprehensam sequatur 	56|57
80	sequitur quaedam inclinatio, 	quedam inclianco . 	58
81	et quidam appetitus 	quidam appeus 	59
82|83	secundum formam illam. |Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	secundum forus illam perp quem sint est in nbisduplex cognitio sensitiua . intellictiua sic est innbis duplex . 	60
84|85	sic |etiam est in nobis duplex appetitus, 	appeus sos sensitiuus 	61
86|87	videlicet, sensitiuus, |qui sequitur formam apprehensam per sensum: 	qui se o forus apprehensam per sensum . intuptrius 	62
88	et intellectiuus, 	qui seno apperhensam per intellectu : 	63
89|90	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. |Nam cum animalia sint supra inanimata, 	appetitiuus 	64
91	si natura elementis 	et sensus duplexest 	65
92|93	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	nam cum animalia sint supra in animata si natura rebus in animatis . elieris dedit duplicem potentum unam per quam tendunt in propriam quietem . 	66
94	et aliam per quam resistunt, 	alia per quam resistunt . 	67
95	et agunt in prohibentia, 	agunt in per hibencentia . 	68
96|97	et in contraria: |multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	contrariam multo mager hanc du oportet potentia natura dedu 	69
98	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	ipsis que sunt perfectiora illissuuidemus enim quod ignis est naturaliter calidus . 	70
99	et leuis per leuitatem autem tendit in locum proprium, 	leuis per leuitatem 	71
100|101	et in quietem sibi conuenientem: |per caliditatem vero agit in contraria: 	et tendit in locum proprimium un quietem is sibi communientem per calidi ut entem uero agit in contrariasteeergo ignis 	72
102	ne ergo ignis per quaecunque contraria agentia impediretur, 	per queuinque contraria agencia inpediretur 	73
103|104	ne per leuitatem in proprio loco quiesceret, |dedit ei natura potentiam calefactiuam, 	ut per leuitatem in proprio loco non quiesceret dedit ei natura potentia calesitiam 	74
105	ut per eam resisteret, et ageret in contraria corruptiua. 	ut per eam resisteret . |ageret in contraria corruptiua 	75|76
106	Si ergo igni, 	si igiturigni . 	77
107|108	et rebus inanimatis natura dedit duplicem potentiam, |unam per quam adipiscuntur propriam quietem, 	rebus in animatis natura lic peruidit 	78
109	et aliam per quam agunt in prohibentia et contraria: 		
110|111	multo magis hoc dedit animalibus. |Tribuit ergo eis duplicem appetitum sensitiuum, 	multo mager hoc dedit animalibus triplicem appetitum tribuit ergo eis 	79
112|113	unum per quem prosequuntur propriam quietem, |et propriam delectationem, 	unum 	80
