A	B
	0
	1
	2
	3
	4
	5
0	6
1	7
2	8
3	9
	10
4	11
5	12
6	13
7	14
	15
	16
8	17
	18
	19
	20
9	21
10	22
11	23
	24
12	25
13	
14	26
15	27
	28
16	29
17	30
18	31
19	32
20	33
21	34
22	35
23	36
24	37
25	38
26	39
27	40
28	41
	42
29	43
30	44
31	45
32	46
33	47
34	48
	49
35	50
36	51
37	52
38	53
39	54
40	55
41	56
	57
	58
42	59
43	
44	60
	61
45	62
46	63
	64
47	65
48	66
49	67
50	68
	69
51	70
52	71
53	72
	73
	74
54	75
	76
	77
55	78
	79
56	80
	81
57	82
58	83
59	84
60	85
	86
