A	B
0	0|1
1	2|3
2	4|5
	6
3	7|8
4	9
5	10
6	11|12
7	13
8	14|15
9	16
10	17
11	18
12|13	19
	20
14	21
15	22|23
16	24|25
17	26
18	27
19	28
20	29
21	30
22	31
23	32|33
24	34|35
25	36
26	37|38
27	39
28	40
29	41
30	42
31|32	43
33	44|45
34|35	46
	47
36	48|49
37	50|51
38	52|53
39	54|55
40	56
41	57|58
42	59
43|44	60
45	61
46	62|63
47	64|65
48	66
49	67
50	68
51	69
52	70
53	71
54	72
55	73|74
56	75
57	76
	77
58	78|79
59	80|81
60	82|83
61	84
62	85
63	86
64	87
65	88
66	89
67|68	90
69	91
70	92
