A	B
0	0
1|2	1
3|4	2
5|6	3
7	4
8	5
9|10	6
11|12	7
13	
14	
15|16	8
17	
18|19	9
20	10
21	11
22	12
	13
23	14
24	15|16
25	17
26|27	18
28	19|20
29	21
30	22
31|32	23
33|34	24
35	
36	
37	25
38	26
39	27
40	28|29
41	30
42	31
43	
44	32|33
45|46	34
47	35|36
48	37
49|50	38
51|52	39
53	40
54|55	41
56|57	42
58	43|44
59	45
60	46
61|62	47
63|64	48
65|66	49
67	50|51
68	52
69	53|54
70	55
71	56
72	57
73	58
74	59
75|76	60
77	
78	61
79|80	62
81	
82	63
83	64
84	65
85	66|67
86|87	68
88	69
89	70
90|91	71
