A	B
0	
1	
2	
3	0
4	1
	2
5	3
6	4
	5
	6
7	7
8	8|9
9	10
10	11
11	12|13
	14
12	15|16
13	17|18
	19
14	20
15|16	21
17	22
18	23|24
	25
19|20	26
21	27
22|23	28
24|25	29
26	30
	31
	32
27	33|34
28	35
29	36|37
30	38
31	39|40
32	41
33	42
	43
	44
	45
	46
34	47|48
35|36	49
37	50
38	51
39	52
40	53
41	54|55
42	56
43	57|58
44|45	59
	60
46	61
47	62
48	63
49	64
50	65
51	66
52	67
53	68
54	69
55	70
	71
	72
56	73|74
57	75
58	76
59	77|78
60	79|80
61	81
62	82|83
63	84
64	85
65	86
66	87|88
67|68	89
69|70	90
71	91
