A	B
0|1	0
2|3	1
4	2
5	3
6	4
7	5
8	6
9|10	7
11|12	8
13|14	9
15|16	10
17|18	11
19|20	12
21|22	13
23|24	14
25	
26|27	15
28	16
29	17|18
30	19
31	20
32	21
33|34	22
35	23
36	24
37|38	25
39|40	26
41|42	27
43	28
44|45	29
46|47	30
48|49	31
50	32
51	33
52	34
53	35
54|55	36
56	
57|58	37
59|60	38
61|62	39
63|64	40
65|66	41
67|68	42
69|70	43
71|72	44
73	
74|75	45
76|77	46
78	47
79	48
80	49
81|82	50
83	51
84|85	52
86|87	53
88|89	54
90|91	55
92|93	56
94	57
95	58|59
96|97	60
98	61|62
99	63
100	64
101	65|66
102|103	67
104	68
105|106	69
107	70
108	71|72
109	
110|111	73
112	74
113|114	75
115	76
116|117	77
118	
119|120	78
121	79|80
122	81
123|124	82
125	83
126	84
127|128	85
129|130	86
131|132	87
133	88
134	89|90
135	91
136|137	92
138	
139|140	93
141	94
142	95
143|144	96
145|146	97
147|148	98
149|150	99
151|152	100
153	101|102
154|155	103
156|157	104
158|159	105
160|161	106
162	107
163|164	108
165|166	109
167|168	110
169|170	111
171	112
172|173	113
174	114
175|176	115
177|178	116
179|180	117
181|182	118
183|184	119
185|186	120
187|188	121
189|190	122
191|192	123
193	124
194|195	125
196|197	126
198	127
199|200	128
201	
202|203	129
204	130
205|206	131
207	132
208|209	133
210|211	134
212	135
	136
213	137|138
214|215	139
216	140
217	141|142
218|219	143
